factura_id,cliente_id,num_corte,fecha_corte,monto,condicion_dias,antiguedad_meses,tiene_garantia,sector_retail,sector_manufactura,sector_servicios,sector_construccion,sector_agro,sector_tecnologia,sector_salud,sector_transporte,num_facturas_prev,mora_promedio_hist,mora_ultimo_tramo,tasa_cumplimiento,monto_promedio_hist,ratio_monto,moras_consecutivas,num_gestiones_factura,dias_desde_ultima_gestion,dias_desde_emision,dias_hasta_vence,tasa_contacto_cliente,ultimo_resultado_enc,num_no_contesta_cons,tiene_disputa_activa,tiene_promesa_activa,num_promesas_rotas,tasa_cumpl_promesas,promesas_total,target
FAC000070,CLI0001,0,2023-01-11,31924.38,90,17,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,31924.38,1.0,0,0,,0,90,0.5,,0,0,0,0,1.0,0,+30
FAC000070,CLI0001,1,2023-02-06,31924.38,90,17,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,31924.38,1.0,0,1,26.0,26,64,0.5,1.0,0,0,0,0,1.0,0,+30
FAC000070,CLI0001,2,2023-04-14,31924.38,90,17,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,31924.38,1.0,0,2,67.0,93,-3,0.5,2.0,0,0,1,0,1.0,0,+30
FAC000070,CLI0001,3,2023-04-21,31924.38,90,17,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,31924.38,1.0,0,3,7.0,100,-10,0.5,4.0,0,1,0,0,1.0,0,+30
FAC000200,CLI0001,0,2023-01-30,12475.19,30,17,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,31924.38,0.3908,0,0,,0,30,0.5,,0,0,0,0,1.0,0,+90
FAC000200,CLI0001,1,2023-03-03,12475.19,30,17,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,31924.38,0.3908,0,1,32.0,32,-2,0.5,6.0,1,0,0,0,1.0,0,+90
FAC000200,CLI0001,2,2023-03-19,12475.19,30,17,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,31924.38,0.3908,0,2,16.0,48,-18,0.5,6.0,2,0,0,0,1.0,0,+90
FAC000200,CLI0001,3,2023-04-05,12475.19,30,17,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,31924.38,0.3908,0,3,17.0,65,-35,0.5,8.0,0,0,0,0,1.0,0,+90
FAC000200,CLI0001,4,2023-04-16,12475.19,30,17,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,31924.38,0.3908,0,4,11.0,76,-46,0.5,6.0,1,0,0,0,1.0,0,+90
FAC000200,CLI0001,5,2023-04-27,12475.19,30,17,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,31924.38,0.3908,0,5,11.0,87,-57,0.5,4.0,0,1,0,0,1.0,0,+90
FAC000200,CLI0001,6,2023-04-28,12475.19,30,17,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,31924.38,0.3908,0,6,1.0,88,-58,0.5,5.0,1,1,0,0,1.0,0,+90
FAC000596,CLI0001,0,2023-03-29,27979.7,90,17,1,0,0,0,0,1,0,0,0,2,0.0,0.0,1.0,22199.78,1.2604,0,0,,0,90,0.3333,,0,0,0,0,1.0,0,+60
