promesa_id,gestion_id,factura_id,cliente_id,fecha_promesa,fecha_compromiso,se_cumplio
PRO000001,GES000007,FAC000002,CLI0054,2023-03-11,2023-03-20,0
PRO000002,GES000020,FAC000007,CLI0154,2023-02-14,2023-03-02,1
PRO000003,GES000032,FAC000010,CLI0200,2023-03-02,2023-03-11,1
PRO000004,GES000039,FAC000013,CLI0034,2023-05-07,2023-05-15,0
PRO000005,GES000044,FAC000014,CLI0002,2023-05-22,2023-06-05,0
PRO000006,GES000050,FAC000018,CLI0188,2023-03-09,2023-03-11,1
PRO000007,GES000054,FAC000024,CLI0048,2023-01-19,2023-03-10,1
PRO000008,GES000056,FAC000026,CLI0095,2023-01-18,2023-01-23,0
PRO000009,GES000068,FAC000031,CLI0044,2023-03-22,2023-05-03,0
PRO000010,GES000075,FAC000035,CLI0081,2023-03-03,2023-03-18,1
PRO000011,GES000089,FAC000038,CLI0126,2023-02-10,2023-02-16,1
PRO000012,GES000093,FAC000041,CLI0171,2023-03-10,2023-04-01,1
PRO000013,GES000131,FAC000055,CLI0051,2023-04-20,2023-05-08,0
PRO000014,GES000168,FAC000070,CLI0001,2023-04-14,2023-04-15,0
PRO000015,GES000173,FAC000071,CLI0051,2023-03-18,2023-04-06,0
PRO000016,GES000183,FAC000077,CLI0034,2023-04-28,2023-04-29,0
PRO000017,GES000193,FAC000083,CLI0065,2023-02-24,2023-03-06,0
PRO000018,GES000216,FAC000096,CLI0069,2023-04-25,2023-05-06,1
PRO000019,GES000227,FAC000104,CLI0126,2023-03-21,2023-04-07,1
PRO000020,GES000229,FAC000105,CLI0198,2023-03-30,2023-04-14,0
PRO000021,GES000233,FAC000109,CLI0054,2023-03-04,2023-03-14,1
PRO000022,GES000235,FAC000110,CLI0095,2023-04-17,2023-07-15,1
PRO000023,GES000257,FAC000121,CLI0108,2023-03-13,2023-04-05,0
PRO000024,GES000269,FAC000127,CLI0076,2023-05-27,2023-07-12,1
PRO000025,GES000270,FAC000127,CLI0076,2023-06-02,2023-07-01,0
PRO000026,GES000272,FAC000127,CLI0076,2023-06-19,2023-06-23,0
PRO000027,GES000273,FAC000127,CLI0076,2023-07-11,2023-07-12,1
PRO000028,GES000275,FAC000128,CLI0082,2023-03-26,2023-03-27,1
PRO000029,GES000289,FAC000131,CLI0036,2023-07-10,2023-07-21,1
PRO000030,GES000292,FAC000134,CLI0139,2023-03-26,2023-03-27,0
PRO000031,GES000300,FAC000138,CLI0008,2023-03-14,2023-03-25,1
PRO000032,GES000301,FAC000139,CLI0077,2023-03-30,2023-04-27,0
PRO000033,GES000307,FAC000140,CLI0078,2023-04-09,2023-04-24,1
PRO000034,GES000344,FAC000159,CLI0136,2023-02-26,2023-03-01,0
PRO000035,GES000362,FAC000165,CLI0087,2023-07-24,2023-07-25,1
PRO000036,GES000365,FAC000167,CLI0128,2023-05-04,2023-05-12,0
PRO000037,GES000368,FAC000169,CLI0157,2023-02-02,2023-07-01,1
PRO000038,GES000382,FAC000171,CLI0180,2023-02-28,2023-03-11,1
PRO000039,GES000385,FAC000173,CLI0042,2023-03-08,2023-03-12,1
PRO000040,GES000409,FAC000182,CLI0129,2023-02-28,2023-03-16,1
PRO000041,GES000410,FAC000182,CLI0129,2023-03-10,2023-03-16,1
PRO000042,GES000426,FAC000191,CLI0064,2023-02-20,2023-03-15,1
PRO000043,GES000427,FAC000192,CLI0196,2023-02-28,2023-04-24,1
PRO000044,GES000428,FAC000192,CLI0196,2023-04-09,2023-04-13,0
PRO000045,GES000429,FAC000193,CLI0010,2023-03-22,2023-03-28,0
PRO000046,GES000436,FAC000197,CLI0127,2023-05-01,2023-07-14,1
PRO000047,GES000437,FAC000197,CLI0127,2023-05-06,2023-07-14,1
PRO000048,GES000448,FAC000199,CLI0171,2023-03-22,2023-06-05,0
PRO000049,GES000468,FAC000203,CLI0040,2023-03-25,2023-04-16,1
PRO000050,GES000471,FAC000204,CLI0061,2023-03-01,2023-05-15,1
PRO000051,GES000484,FAC000206,CLI0157,2023-05-23,2023-05-24,1
PRO000052,GES000486,FAC000208,CLI0119,2023-02-03,2023-03-19,1
PRO000053,GES000492,FAC000212,CLI0032,2023-05-04,2023-05-05,1
PRO000054,GES000501,FAC000217,CLI0018,2023-02-22,2023-03-30,1
PRO000055,GES000529,FAC000226,CLI0049,2023-06-09,2023-06-11,0
PRO000056,GES000544,FAC000232,CLI0054,2023-04-03,2023-05-27,0
PRO000057,GES000547,FAC000232,CLI0054,2023-05-12,2023-05-31,0
PRO000058,GES000566,FAC000236,CLI0141,2023-03-08,2023-03-09,1
PRO000059,GES000582,FAC000247,CLI0142,2023-05-11,2023-05-12,1
PRO000060,GES000595,FAC000257,CLI0047,2023-02-26,2023-05-01,0
PRO000061,GES000624,FAC000266,CLI0098,2023-03-29,2023-04-16,1
PRO000062,GES000628,FAC000268,CLI0116,2023-02-14,2023-03-08,0
PRO000063,GES000633,FAC000270,CLI0134,2023-04-30,2023-05-12,1
PRO000064,GES000653,FAC000280,CLI0164,2023-04-08,2023-05-30,1
PRO000065,GES000657,FAC000281,CLI0168,2023-04-09,2023-04-10,1
PRO000066,GES000672,FAC000287,CLI0009,2023-06-12,2023-06-17,1
PRO000067,GES000674,FAC000288,CLI0044,2023-04-02,2023-04-04,0
PRO000068,GES000675,FAC000288,CLI0044,2023-04-12,2023-04-20,1
PRO000069,GES000676,FAC000290,CLI0090,2023-05-14,2023-08-01,1
PRO000070,GES000721,FAC000312,CLI0019,2023-06-07,2023-06-28,0
PRO000071,GES000739,FAC000322,CLI0034,2023-04-25,2023-05-02,0
PRO000072,GES000742,FAC000323,CLI0038,2023-02-27,2023-03-29,1
PRO000073,GES000751,FAC000333,CLI0055,2023-04-13,2023-05-07,0
PRO000074,GES000753,FAC000333,CLI0055,2023-05-18,2023-05-24,0
PRO000075,GES000770,FAC000341,CLI0126,2023-04-08,2023-04-09,0
PRO000076,GES000775,FAC000344,CLI0003,2023-02-28,2023-03-30,0
PRO000077,GES000783,FAC000352,CLI0009,2023-04-18,2023-04-24,0
PRO000078,GES000785,FAC000352,CLI0009,2023-05-08,2023-05-13,0
PRO000079,GES000789,FAC000354,CLI0095,2023-04-26,2023-05-23,0
PRO000080,GES000799,FAC000357,CLI0010,2023-06-05,2023-06-07,0
PRO000081,GES000802,FAC000357,CLI0010,2023-07-02,2023-07-03,1
PRO000082,GES000812,FAC000365,CLI0181,2023-05-08,2023-06-30,1
PRO000083,GES000816,FAC000366,CLI0003,2023-03-15,2023-05-13,0
