gestion_id,factura_id,cliente_id,fecha_gestion,canal,contacto_exitoso,resultado,motivo_no_pago,dias_mora_en_gestion
GES000001,FAC000001,CLI0051,2023-01-27,whatsapp,1,en_proceso_interno,,0
GES000002,FAC000001,CLI0051,2023-04-30,email,0,no_contesta,,29
GES000003,FAC000001,CLI0051,2023-05-13,llamada,0,no_contesta,,42
GES000004,FAC000001,CLI0051,2023-05-16,llamada,0,no_contesta,,45
GES000005,FAC000001,CLI0051,2023-06-21,visita,1,en_proceso_interno,problemas_internos,81
GES000006,FAC000001,CLI0051,2023-06-27,visita,0,cliente_ausente,,87
GES000007,FAC000002,CLI0054,2023-03-11,whatsapp,1,promesa_de_pago,disputa_factura,9
GES000008,FAC000002,CLI0054,2023-03-24,email,0,no_contesta,,22
GES000009,FAC000003,CLI0086,2023-03-03,whatsapp,1,confirma_pago,,1
GES000010,FAC000003,CLI0086,2023-03-04,email,0,no_contesta,,2
GES000011,FAC000003,CLI0086,2023-03-05,llamada,0,no_contesta,,3
GES000012,FAC000005,CLI0138,2023-01-23,whatsapp,1,en_proceso_interno,,0
GES000013,FAC000005,CLI0138,2023-02-19,email,1,disputa_monto,disputa_factura,19
GES000014,FAC000005,CLI0138,2023-03-07,llamada,1,en_proceso_interno,flujo_de_caja,35
GES000015,FAC000005,CLI0138,2023-03-11,llamada,0,no_contesta,,39
GES000016,FAC000005,CLI0138,2023-03-23,visita,0,cliente_ausente,,51
GES000017,FAC000006,CLI0140,2023-03-10,whatsapp,0,numero_invalido,,8
GES000018,FAC000006,CLI0140,2023-03-16,email,0,no_contesta,,14
GES000019,FAC000006,CLI0140,2023-03-20,llamada,0,numero_invalido,,18
GES000020,FAC000007,CLI0154,2023-02-14,whatsapp,1,promesa_de_pago,,0
GES000021,FAC000008,CLI0169,2023-02-12,whatsapp,1,confirma_pago,,0
GES000022,FAC000009,CLI0179,2023-02-17,whatsapp,1,disputa_monto,,0
GES000023,FAC000009,CLI0179,2023-03-02,email,0,no_contesta,,0
GES000024,FAC000009,CLI0179,2023-04-06,llamada,0,no_contesta,,5
GES000025,FAC000009,CLI0179,2023-04-13,llamada,0,no_contesta,,12
GES000026,FAC000009,CLI0179,2023-04-24,visita,0,cliente_ausente,,23
GES000027,FAC000009,CLI0179,2023-05-17,visita,0,cliente_ausente,,46
GES000028,FAC000009,CLI0179,2023-05-28,carta_notarial,1,rechazo_pago,en_proceso_de_pago,57
GES000029,FAC000009,CLI0179,2023-05-30,carta_notarial,1,rechazo_pago,desconoce_deuda,59
GES000030,FAC000009,CLI0179,2023-06-05,carta_notarial,0,cliente_ausente,,65
GES000031,FAC000009,CLI0179,2023-06-10,carta_notarial,0,cliente_ausente,,70
GES000032,FAC000010,CLI0200,2023-03-02,whatsapp,1,promesa_de_pago,en_proceso_de_pago,15
GES000033,FAC000011,CLI0027,2023-01-29,whatsapp,1,confirma_pago,,0
GES000034,FAC000012,CLI0031,2023-04-06,whatsapp,0,numero_invalido,,4
GES000035,FAC000012,CLI0031,2023-04-07,email,1,en_proceso_interno,rechazo_total,5
GES000036,FAC000012,CLI0031,2023-04-08,llamada,1,en_proceso_interno,en_proceso_de_pago,6
GES000037,FAC000013,CLI0034,2023-03-28,whatsapp,0,numero_invalido,,0
GES000038,FAC000013,CLI0034,2023-04-23,email,0,no_contesta,,21
GES000039,FAC000013,CLI0034,2023-05-07,llamada,1,promesa_de_pago,promete_pagar,35
GES000040,FAC000013,CLI0034,2023-05-16,llamada,0,no_contesta,,44
GES000041,FAC000014,CLI0002,2023-01-09,whatsapp,0,no_contesta,,0
GES000042,FAC000014,CLI0002,2023-05-16,email,0,no_contesta,,43
GES000043,FAC000014,CLI0002,2023-05-20,llamada,1,disputa_monto,flujo_de_caja,47
GES000044,FAC000014,CLI0002,2023-05-22,llamada,1,promesa_de_pago,en_proceso_de_pago,49
GES000045,FAC000014,CLI0002,2023-05-23,visita,1,disputa_monto,promete_pagar,50
GES000046,FAC000014,CLI0002,2023-06-22,visita,1,rechazo_pago,problemas_internos,80
GES000047,FAC000014,CLI0002,2023-06-27,carta_notarial,1,en_proceso_interno,disputa_factura,85
GES000048,FAC000015,CLI0006,2023-02-04,whatsapp,1,confirma_pago,,0
GES000049,FAC000018,CLI0188,2023-03-07,whatsapp,1,confirma_pago,,3
GES000050,FAC000018,CLI0188,2023-03-09,email,1,promesa_de_pago,disputa_factura,5
GES000051,FAC000019,CLI0193,2023-02-25,whatsapp,1,en_proceso_interno,,0
GES000052,FAC000021,CLI0066,2023-04-08,whatsapp,1,pagado,,4
GES000053,FAC000023,CLI0163,2023-01-12,whatsapp,0,no_contesta,,0
GES000054,FAC000024,CLI0048,2023-01-19,whatsapp,1,promesa_de_pago,,0
GES000055,FAC000025,CLI0067,2023-02-07,whatsapp,1,disputa_monto,,0
GES000056,FAC000026,CLI0095,2023-01-18,whatsapp,1,promesa_de_pago,,0
GES000057,FAC000026,CLI0095,2023-02-26,email,0,no_contesta,,7
GES000058,FAC000026,CLI0095,2023-03-20,llamada,0,no_contesta,,29
GES000059,FAC000026,CLI0095,2023-04-04,llamada,0,no_contesta,,44
GES000060,FAC000026,CLI0095,2023-04-08,visita,1,disputa_monto,problemas_internos,48
GES000061,FAC000026,CLI0095,2023-04-12,visita,1,en_proceso_interno,promete_pagar,52
GES000062,FAC000026,CLI0095,2023-04-27,carta_notarial,1,rechazo_pago,problemas_internos,67
GES000063,FAC000027,CLI0118,2023-02-12,whatsapp,1,confirma_pago,,0
GES000064,FAC000028,CLI0170,2023-02-01,whatsapp,1,en_proceso_interno,,0
GES000065,FAC000029,CLI0010,2023-03-02,whatsapp,1,confirma_pago,,0
GES000066,FAC000031,CLI0044,2023-03-06,whatsapp,0,no_contesta,,0
GES000067,FAC000031,CLI0044,2023-03-17,email,0,no_contesta,,10
GES000068,FAC000031,CLI0044,2023-03-22,llamada,1,promesa_de_pago,disputa_factura,15
GES000069,FAC000031,CLI0044,2023-05-12,llamada,0,no_contesta,,66
GES000070,FAC000031,CLI0044,2023-05-20,visita,0,cliente_ausente,,74
GES000071,FAC000031,CLI0044,2023-06-02,visita,0,cliente_ausente,,87
GES000072,FAC000032,CLI0046,2023-02-28,whatsapp,1,disputa_monto,,0
GES000073,FAC000033,CLI0069,2023-01-15,whatsapp,1,confirma_pago,,0
GES000074,FAC000035,CLI0081,2023-01-15,whatsapp,0,no_contesta,,0
GES000075,FAC000035,CLI0081,2023-03-03,email,1,promesa_de_pago,disputa_factura,11
GES000076,FAC000036,CLI0087,2023-01-28,whatsapp,0,numero_invalido,,0
GES000077,FAC000036,CLI0087,2023-02-18,email,1,confirma_pago,,13
GES000078,FAC000036,CLI0087,2023-03-05,llamada,0,numero_invalido,,28
GES000079,FAC000036,CLI0087,2023-03-08,llamada,1,en_proceso_interno,rechazo_total,31
GES000080,FAC000036,CLI0087,2023-03-31,visita,1,rechazo_pago,rechazo_total,54
GES000081,FAC000036,CLI0087,2023-04-01,visita,0,cliente_ausente,,55
GES000082,FAC000036,CLI0087,2023-04-04,carta_notarial,1,en_proceso_interno,rechazo_total,58
GES000083,FAC000036,CLI0087,2023-04-07,carta_notarial,0,cliente_ausente,,61
GES000084,FAC000036,CLI0087,2023-04-14,carta_notarial,1,rechazo_pago,problemas_internos,68
GES000085,FAC000036,CLI0087,2023-05-10,carta_notarial,1,rechazo_pago,desconoce_deuda,94
GES000086,FAC000037,CLI0107,2023-03-23,whatsapp,1,en_proceso_interno,promete_pagar,31
GES000087,FAC000037,CLI0107,2023-03-26,email,0,no_contesta,,34
GES000088,FAC000037,CLI0107,2023-03-28,llamada,0,no_contesta,,36
GES000089,FAC000038,CLI0126,2023-02-10,whatsapp,1,promesa_de_pago,disputa_factura,5
GES000090,FAC000039,CLI0128,2023-01-21,whatsapp,1,en_proceso_interno,,0
GES000091,FAC000040,CLI0137,2023-02-20,whatsapp,1,en_proceso_interno,rechazo_total,15
GES000092,FAC000041,CLI0171,2023-02-15,whatsapp,1,disputa_monto,,0
GES000093,FAC000041,CLI0171,2023-03-10,email,1,promesa_de_pago,desconoce_deuda,18
GES000094,FAC000041,CLI0171,2023-03-19,llamada,0,no_contesta,,27
GES000095,FAC000041,CLI0171,2023-03-21,llamada,0,no_contesta,,29
GES000096,FAC000041,CLI0171,2023-03-25,visita,0,cliente_ausente,,33
GES000097,FAC000041,CLI0171,2023-03-27,visita,0,cliente_ausente,,35
GES000098,FAC000042,CLI0007,2023-01-27,whatsapp,1,confirma_pago,,0
GES000099,FAC000043,CLI0031,2023-03-11,whatsapp,0,no_contesta,,3
GES000100,FAC000043,CLI0031,2023-03-12,email,1,pagado,,4
GES000101,FAC000043,CLI0031,2023-03-13,llamada,1,en_proceso_interno,problemas_internos,5
GES000102,FAC000045,CLI0083,2023-02-09,whatsapp,1,disputa_monto,problemas_internos,3
GES000103,FAC000046,CLI0096,2023-02-26,whatsapp,0,numero_invalido,,5
GES000104,FAC000047,CLI0107,2023-02-18,whatsapp,1,en_proceso_interno,,0
GES000105,FAC000047,CLI0107,2023-05-07,email,1,rechazo_pago,disputa_factura,30
GES000106,FAC000047,CLI0107,2023-05-25,llamada,1,rechazo_pago,rechazo_total,48
GES000107,FAC000047,CLI0107,2023-06-22,llamada,0,numero_invalido,,76
GES000108,FAC000047,CLI0107,2023-06-28,visita,0,cliente_ausente,,82
GES000109,FAC000048,CLI0163,2023-03-11,whatsapp,1,en_proceso_interno,problemas_internos,3
GES000110,FAC000048,CLI0163,2023-03-15,email,0,no_contesta,,7
GES000111,FAC000050,CLI0046,2023-02-14,whatsapp,1,en_proceso_interno,desconoce_deuda,7
GES000112,FAC000050,CLI0046,2023-02-19,email,0,no_contesta,,12
GES000113,FAC000050,CLI0046,2023-02-26,llamada,0,no_contesta,,19
GES000114,FAC000050,CLI0046,2023-02-27,llamada,0,numero_invalido,,20
GES000115,FAC000050,CLI0046,2023-03-13,visita,1,pagado,,34
GES000116,FAC000050,CLI0046,2023-03-21,visita,0,cliente_ausente,,42
GES000117,FAC000051,CLI0063,2023-03-29,whatsapp,1,disputa_monto,problemas_internos,20
GES000118,FAC000051,CLI0063,2023-04-16,email,0,no_contesta,,38
GES000119,FAC000051,CLI0063,2023-05-01,llamada,0,no_contesta,,53
GES000120,FAC000051,CLI0063,2023-05-05,llamada,0,numero_invalido,,57
GES000121,FAC000051,CLI0063,2023-05-06,visita,0,cliente_ausente,,58
GES000122,FAC000051,CLI0063,2023-05-30,visita,1,disputa_monto,flujo_de_caja,82
GES000123,FAC000051,CLI0063,2023-05-31,carta_notarial,1,rechazo_pago,rechazo_total,83
GES000124,FAC000051,CLI0063,2023-06-10,carta_notarial,0,cliente_ausente,,93
GES000125,FAC000051,CLI0063,2023-06-13,carta_notarial,1,disputa_monto,rechazo_total,96
GES000126,FAC000051,CLI0063,2023-06-18,carta_notarial,0,cliente_ausente,,101
GES000127,FAC000053,CLI0185,2023-05-05,whatsapp,1,en_proceso_interno,disputa_factura,27
GES000128,FAC000055,CLI0051,2023-01-23,whatsapp,1,disputa_monto,,0
GES000129,FAC000055,CLI0051,2023-04-11,email,0,no_contesta,,2
GES000130,FAC000055,CLI0051,2023-04-17,llamada,1,disputa_monto,en_proceso_de_pago,8
GES000131,FAC000055,CLI0051,2023-04-20,llamada,1,promesa_de_pago,desconoce_deuda,11
GES000132,FAC000055,CLI0051,2023-04-21,visita,1,confirma_pago,,12
GES000133,FAC000055,CLI0051,2023-05-11,visita,0,cliente_ausente,,32
GES000134,FAC000055,CLI0051,2023-05-13,carta_notarial,0,cliente_ausente,,34
GES000135,FAC000055,CLI0051,2023-05-28,carta_notarial,1,en_proceso_interno,disputa_factura,49
GES000136,FAC000055,CLI0051,2023-06-02,carta_notarial,0,cliente_ausente,,54
GES000137,FAC000055,CLI0051,2023-06-14,carta_notarial,1,disputa_monto,problemas_internos,66
GES000138,FAC000056,CLI0065,2023-02-27,whatsapp,1,confirma_pago,,0
GES000139,FAC000057,CLI0088,2023-02-11,whatsapp,1,confirma_pago,,0
GES000140,FAC000060,CLI0183,2023-02-05,whatsapp,0,no_contesta,,0
GES000141,FAC000060,CLI0183,2023-02-10,email,0,no_contesta,,0
GES000142,FAC000060,CLI0183,2023-03-02,llamada,0,no_contesta,,7
GES000143,FAC000060,CLI0183,2023-03-09,llamada,1,rechazo_pago,desconoce_deuda,14
GES000144,FAC000060,CLI0183,2023-03-19,visita,0,cliente_ausente,,24
GES000145,FAC000060,CLI0183,2023-03-26,visita,1,disputa_monto,rechazo_total,31
GES000146,FAC000060,CLI0183,2023-04-15,carta_notarial,0,cliente_ausente,,51
GES000147,FAC000061,CLI0020,2023-02-28,whatsapp,0,no_contesta,,19
GES000148,FAC000062,CLI0031,2023-03-06,whatsapp,0,no_contesta,,10
GES000149,FAC000062,CLI0031,2023-03-08,email,1,rechazo_pago,desconoce_deuda,12
GES000150,FAC000062,CLI0031,2023-03-17,llamada,0,no_contesta,,21
GES000151,FAC000062,CLI0031,2023-04-02,llamada,0,no_contesta,,37
GES000152,FAC000062,CLI0031,2023-04-22,visita,0,cliente_ausente,,57
GES000153,FAC000062,CLI0031,2023-04-25,visita,0,cliente_ausente,,60
GES000154,FAC000064,CLI0052,2023-01-30,whatsapp,0,no_contesta,,0
GES000155,FAC000064,CLI0052,2023-02-28,email,1,rechazo_pago,desconoce_deuda,19
GES000156,FAC000064,CLI0052,2023-03-03,llamada,1,disputa_monto,promete_pagar,22
GES000157,FAC000064,CLI0052,2023-03-08,llamada,0,numero_invalido,,27
GES000158,FAC000064,CLI0052,2023-03-12,visita,0,cliente_ausente,,31
GES000159,FAC000064,CLI0052,2023-03-13,visita,0,cliente_ausente,,32
GES000160,FAC000064,CLI0052,2023-03-22,carta_notarial,1,disputa_monto,rechazo_total,41
GES000161,FAC000064,CLI0052,2023-03-23,carta_notarial,1,rechazo_pago,disputa_factura,42
GES000162,FAC000064,CLI0052,2023-03-28,carta_notarial,0,cliente_ausente,,47
GES000163,FAC000064,CLI0052,2023-04-21,carta_notarial,1,rechazo_pago,problemas_internos,71
GES000164,FAC000065,CLI0102,2023-01-31,whatsapp,0,no_contesta,,0
GES000165,FAC000066,CLI0107,2023-02-21,whatsapp,0,no_contesta,,0
GES000166,FAC000069,CLI0165,2023-02-01,whatsapp,0,no_contesta,,0
GES000167,FAC000070,CLI0001,2023-02-06,whatsapp,1,confirma_pago,,0
GES000168,FAC000070,CLI0001,2023-04-14,email,1,promesa_de_pago,problemas_internos,3
GES000169,FAC000070,CLI0001,2023-04-21,llamada,1,disputa_monto,en_proceso_de_pago,10
GES000170,FAC000071,CLI0051,2023-03-05,whatsapp,0,no_contesta,,8
GES000171,FAC000071,CLI0051,2023-03-06,email,0,no_contesta,,9
GES000172,FAC000071,CLI0051,2023-03-11,llamada,0,no_contesta,,14
GES000173,FAC000071,CLI0051,2023-03-18,llamada,1,promesa_de_pago,flujo_de_caja,21
GES000174,FAC000071,CLI0051,2023-03-29,visita,0,cliente_ausente,,32
GES000175,FAC000071,CLI0051,2023-04-04,visita,0,cliente_ausente,,38
GES000176,FAC000074,CLI0139,2023-03-05,whatsapp,1,confirma_pago,,0
GES000177,FAC000074,CLI0139,2023-03-14,email,1,en_proceso_interno,flujo_de_caja,2
GES000178,FAC000075,CLI0162,2023-04-27,whatsapp,0,no_contesta,,16
GES000179,FAC000075,CLI0162,2023-05-01,email,0,no_contesta,,20
GES000180,FAC000076,CLI0200,2023-02-16,whatsapp,1,confirma_pago,,0
GES000181,FAC000077,CLI0034,2023-03-03,whatsapp,0,no_contesta,,0
GES000182,FAC000077,CLI0034,2023-04-24,email,0,no_contesta,,12
GES000183,FAC000077,CLI0034,2023-04-28,llamada,1,promesa_de_pago,rechazo_total,16
GES000184,FAC000077,CLI0034,2023-05-05,llamada,0,numero_invalido,,23
GES000185,FAC000077,CLI0034,2023-05-15,visita,0,cliente_ausente,,33
GES000186,FAC000077,CLI0034,2023-05-25,visita,0,cliente_ausente,,43
GES000187,FAC000078,CLI0044,2023-02-03,whatsapp,0,no_contesta,,0
