,n,media,mediana,desv_std,min,p01,p05,p10,p25,p75,p90,p95,p99,max,iqr,media_vs_mediana
monto,19671.0,28173.43465405927,14013.53,32780.68216633168,318.96,686.46,1833.21,3163.73,6641.34,36312.92,74653.12,106803.43,142429.41,149413.99,29671.579999999998,14159.90465405927
condicion_dias,19671.0,56.9277108433735,60.0,22.565051648811647,30.0,30.0,30.0,30.0,45.0,90.0,90.0,90.0,90.0,90.0,45.0,-3.0722891566265034
antiguedad_meses,19671.0,36.4462914950943,36.0,18.337441739395736,3.0,3.0,7.5,12.0,22.0,51.0,61.0,71.0,72.0,72.0,29.0,0.4462914950943002
num_facturas_prev,19671.0,16.152661278023487,14.0,11.252363606830347,0.0,0.0,1.0,2.0,7.0,24.0,33.0,37.0,43.0,47.0,17.0,2.152661278023487
mora_promedio_hist,19671.0,23.924332774134513,18.89,20.901151646581926,0.0,0.0,0.0,0.0,3.75,42.14,53.47,58.59,67.75,119.0,38.39,5.034332774134512
tasa_cumplimiento,19671.0,0.42505153779675664,0.3636,0.3857843430818653,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,0.8,0.06145153779675666
ratio_monto,19671.0,1.0882229017335163,1.0,0.8360897250548449,0.0258,0.08266000000000001,0.1663,0.2594,0.55875,1.4885,1.8662,2.0907,3.2607,22.8089,0.92975,0.08822290173351632
num_gestiones_factura,19671.0,2.3054242285598088,2.0,2.3320560828819694,0.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0,9.0,10.0,4.0,0.3054242285598088
dias_desde_emision,19671.0,55.87235016013421,54.0,48.1320979665812,0.0,0.0,0.0,0.0,0.0,93.0,122.0,139.0,172.0,210.0,93.0,1.8723501601342107
dias_hasta_vence,19671.0,1.0553606832392863,-6.0,46.10460725323871,-120.0,-99.0,-74.0,-56.0,-30.0,33.0,60.0,90.0,90.0,90.0,63.0,7.055360683239286
num_promesas_rotas,19671.0,2.718722993238778,1.0,3.638889912137817,0.0,0.0,0.0,0.0,0.0,4.0,8.0,10.0,16.0,21.0,4.0,1.718722993238778
tasa_cumpl_promesas,19671.0,0.6008179401148899,0.6,0.3701105440931863,0.0,0.0,0.0,0.0,0.2857,1.0,1.0,1.0,1.0,1.0,0.7142999999999999,0.0008179401148898924
promesas_total,19671.0,5.001982614000305,3.0,5.399047735982437,0.0,0.0,0.0,0.0,1.0,8.0,13.0,16.0,22.0,32.0,7.0,2.0019826140003047
