factura_id,cliente_id,fecha_corte,monto,condicion_dias,antiguedad_meses,tiene_garantia,sector_retail,sector_manufactura,sector_servicios,sector_construccion,sector_agro,sector_tecnologia,sector_salud,sector_transporte,num_facturas_prev,mora_promedio_hist,mora_ultimo_tramo,tasa_cumplimiento,monto_promedio_hist,ratio_monto,moras_consecutivas,num_gestiones_factura,dias_desde_ultima_gestion,dias_hasta_vence,tasa_contacto_cliente,ultimo_resultado_enc,num_no_contesta_cons,tiene_disputa_activa,tiene_promesa_activa,num_promesas_rotas,tasa_cumpl_promesas,promesas_total,target_mora,sin_gestion_previa,dias_transcurridos_corte,esta_vencida_al_corte,dias_mora_observable,dias_hasta_vence_pos,cliente_nuevo,intensidad_gestion,friccion_contacto,ratio_promesas_rotas
FAC000070,CLI0001,2023-01-11,31924.38,90,17,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,31924.38,1.0,0,0,-1.0,90,0.5,sin_gestion_previa,0,0,0,0,1.0,0,+30,1,0,0,0,90,1,0.0,0.0,0.0
FAC000070,CLI0001,2023-02-06,31924.38,90,17,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,31924.38,1.0,0,1,26.0,64,0.5,cod_1,0,0,0,0,1.0,0,+30,0,26,0,0,64,1,0.037037037037037035,0.0,0.0
FAC000070,CLI0001,2023-04-14,31924.38,90,17,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,31924.38,1.0,0,2,67.0,-3,0.5,cod_2,0,0,1,0,1.0,0,+30,0,93,1,3,0,1,0.02127659574468085,0.0,0.0
FAC000070,CLI0001,2023-04-21,31924.38,90,17,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,31924.38,1.0,0,3,7.0,-10,0.5,cod_4,0,1,0,0,1.0,0,+30,0,100,1,10,0,1,0.0297029702970297,0.0,0.0
FAC000200,CLI0001,2023-01-30,12475.19,30,17,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,31924.38,0.3908,0,0,-1.0,30,0.5,sin_gestion_previa,0,0,0,0,1.0,0,+90,1,0,0,0,30,0,0.0,0.0,0.0
FAC000200,CLI0001,2023-03-03,12475.19,30,17,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,31924.38,0.3908,0,1,32.0,-2,0.5,cod_6,1,0,0,0,1.0,0,+90,0,32,1,2,0,0,0.030303030303030304,1.0,0.0
FAC000200,CLI0001,2023-03-19,12475.19,30,17,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,31924.38,0.3908,0,2,16.0,-18,0.5,cod_6,2,0,0,0,1.0,0,+90,0,48,1,18,0,0,0.04081632653061224,1.0,0.0
FAC000200,CLI0001,2023-04-05,12475.19,30,17,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,31924.38,0.3908,0,3,17.0,-35,0.5,cod_8,0,0,0,0,1.0,0,+90,0,65,1,35,0,0,0.045454545454545456,0.0,0.0
FAC000200,CLI0001,2023-04-16,12475.19,30,17,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,31924.38,0.3908,0,4,11.0,-46,0.5,cod_6,1,0,0,0,1.0,0,+90,0,76,1,46,0,0,0.05194805194805195,0.25,0.0
FAC000200,CLI0001,2023-04-27,12475.19,30,17,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,31924.38,0.3908,0,5,11.0,-57,0.5,cod_4,0,1,0,0,1.0,0,+90,0,87,1,57,0,0,0.056818181818181816,0.0,0.0
FAC000200,CLI0001,2023-04-28,12475.19,30,17,1,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,31924.38,0.3908,0,6,1.0,-58,0.5,cod_5,1,1,0,0,1.0,0,+90,0,88,1,58,0,0,0.06741573033707865,0.16666666666666666,0.0
FAC000596,CLI0001,2023-03-29,27979.7,90,17,1,0,0,0,0,1,0,0,0,2,0.0,0.0,1.0,22199.78,1.2604,0,0,-1.0,90,0.3333,sin_gestion_previa,0,0,0,0,1.0,0,+60,1,0,0,0,90,0,0.0,0.0,0.0
FAC000596,CLI0001,2023-05-24,27979.7,90,17,1,0,0,0,0,1,0,0,0,2,0.0,0.0,1.0,22199.78,1.2604,0,1,56.0,34,0.3333,cod_7,1,0,0,0,1.0,0,+60,0,56,0,0,34,0,0.017543859649122806,1.0,0.0
FAC000596,CLI0001,2023-07-02,27979.7,90,17,1,0,0,0,0,1,0,0,0,2,0.0,0.0,1.0,22199.78,1.2604,0,2,39.0,-5,0.3333,cod_3,0,0,0,0,1.0,0,+60,0,95,1,5,0,0,0.020833333333333332,0.0,0.0
FAC000596,CLI0001,2023-07-03,27979.7,90,17,1,0,0,0,0,1,0,0,0,2,0.0,0.0,1.0,22199.78,1.2604,0,3,1.0,-6,0.3333,cod_2,0,0,1,0,1.0,0,+60,0,96,1,6,0,0,0.030927835051546393,0.0,0.0
FAC001362,CLI0001,2023-07-06,26894.44,60,17,1,0,0,0,0,1,0,0,0,3,53.5,53.5,0.0,24126.42,1.1147,0,0,-1.0,60,0.5833,sin_gestion_previa,0,0,0,1,0.0,2,+30,1,0,0,0,60,0,0.0,0.0,0.5
FAC001362,CLI0001,2023-09-11,26894.44,60,17,1,0,0,0,0,1,0,0,0,3,53.5,53.5,0.0,24126.42,1.1147,0,1,67.0,-7,0.5833,cod_6,1,0,0,1,0.0,2,+30,0,67,1,7,0,0,0.014705882352941176,1.0,0.5
FAC001362,CLI0001,2023-09-12,26894.44,60,17,1,0,0,0,0,1,0,0,0,3,53.5,53.5,0.0,24126.42,1.1147,0,2,1.0,-8,0.5833,cod_6,2,0,0,1,0.0,2,+30,0,68,1,8,0,0,0.028985507246376812,1.0,0.5
FAC001435,CLI0001,2023-07-15,19457.16,60,17,1,0,0,0,0,1,0,0,0,4,53.5,53.5,0.0,24818.43,0.784,0,0,-1.0,60,0.5833,sin_gestion_previa,0,0,0,2,0.0,2,on_time,1,0,0,0,60,0,0.0,0.0,1.0
FAC001590,CLI0001,2023-08-06,17594.65,60,17,1,0,0,0,0,1,0,0,0,5,53.5,53.5,0.0,23746.17,0.7409,0,0,-1.0,60,0.5833,sin_gestion_previa,0,0,0,2,0.0,2,+30,1,0,0,0,60,0,0.0,0.0,1.0
FAC001590,CLI0001,2023-10-13,17594.65,60,17,1,0,0,0,0,1,0,0,0,5,53.5,53.5,0.0,23746.17,0.7409,0,1,68.0,-8,0.5833,cod_1,0,0,0,2,0.0,2,+30,0,68,1,8,0,0,0.014492753623188406,0.0,1.0
FAC001775,CLI0001,2023-09-04,14720.61,60,17,1,0,0,0,0,1,0,0,0,6,52.33,52.33,0.0,22720.92,0.6479,0,0,-1.0,60,0.5833,sin_gestion_previa,0,0,0,2,0.0,2,on_time,1,0,0,0,60,0,0.0,0.0,1.0
FAC001775,CLI0001,2023-09-25,14720.61,60,17,1,0,0,0,0,1,0,0,0,6,52.33,52.33,0.0,22720.92,0.6479,0,1,21.0,39,0.5833,cod_7,1,0,0,2,0.0,2,on_time,0,21,0,0,39,0,0.045454545454545456,1.0,1.0
FAC001782,CLI0001,2023-09-05,11565.74,90,17,1,0,0,0,0,1,0,0,0,7,52.33,52.33,0.0,21578.02,0.536,0,0,-1.0,90,0.5833,sin_gestion_previa,0,0,0,2,0.0,2,on_time,1,0,0,0,90,0,0.0,0.0,1.0
FAC001901,CLI0001,2023-09-22,9990.98,60,17,1,0,0,0,0,1,0,0,0,8,34.6,22.0,0.2,20326.48,0.4915,0,0,-1.0,60,0.5,sin_gestion_previa,0,0,0,2,0.0,2,+30,1,0,0,0,60,0,0.0,0.0,1.0
FAC001901,CLI0001,2023-11-24,9990.98,60,17,1,0,0,0,0,1,0,0,0,8,34.6,22.0,0.2,20326.48,0.4915,0,1,63.0,-3,0.5,cod_3,0,0,0,2,0.0,2,+30,0,63,1,3,0,0,0.015625,0.0,1.0
FAC002019,CLI0001,2023-10-10,13306.37,45,17,1,0,0,0,0,1,0,0,0,9,34.6,22.0,0.2,19178.09,0.6938,0,0,-1.0,45,0.4667,sin_gestion_previa,0,0,0,2,0.0,2,+30,1,0,0,0,45,0,0.0,0.0,1.0
FAC002019,CLI0001,2023-11-25,13306.37,45,17,1,0,0,0,0,1,0,0,0,9,34.6,22.0,0.2,19178.09,0.6938,0,1,46.0,-1,0.4667,cod_3,0,0,0,2,0.0,2,+30,0,46,1,1,0,0,0.02127659574468085,0.0,1.0
FAC002019,CLI0001,2023-11-27,13306.37,45,17,1,0,0,0,0,1,0,0,0,9,34.6,22.0,0.2,19178.09,0.6938,0,2,2.0,-3,0.4667,cod_6,1,0,0,2,0.0,2,+30,0,48,1,3,0,0,0.04081632653061224,0.5,1.0
FAC002019,CLI0001,2023-12-01,13306.37,45,17,1,0,0,0,0,1,0,0,0,9,34.6,22.0,0.2,19178.09,0.6938,0,3,4.0,-7,0.4667,cod_6,2,0,0,2,0.0,2,+30,0,52,1,7,0,0,0.05660377358490566,0.6666666666666666,1.0
