columna,rol,dtype,nulos,valores_unicos
factura_id,trazabilidad,str,0,5338
cliente_id,trazabilidad,str,0,200
fecha_corte,trazabilidad,datetime64[us],0,900
monto,feature,float64,0,5337
condicion_dias,feature,int64,0,4
antiguedad_meses,feature,int64,0,66
tiene_garantia,feature,int64,0,2
sector_retail,feature,int64,0,2
sector_manufactura,feature,int64,0,2
sector_servicios,feature,int64,0,2
sector_construccion,feature,int64,0,2
sector_agro,feature,int64,0,2
sector_tecnologia,feature,int64,0,2
sector_salud,feature,int64,0,2
sector_transporte,feature,int64,0,2
num_facturas_prev,feature,int64,0,48
mora_promedio_hist,feature,float64,0,1520
mora_ultimo_tramo,feature,float64,0,251
tasa_cumplimiento,feature,float64,0,329
monto_promedio_hist,feature,float64,0,5132
ratio_monto,feature,float64,0,4612
moras_consecutivas,feature,int64,0,16
num_gestiones_factura,feature,int64,0,11
dias_desde_ultima_gestion,feature,float64,0,125
dias_hasta_vence,feature,int64,0,208
tasa_contacto_cliente,feature,float64,0,821
ultimo_resultado_enc,feature,str,0,10
num_no_contesta_cons,feature,int64,0,9
tiene_disputa_activa,feature,int64,0,2
tiene_promesa_activa,feature,int64,0,2
num_promesas_rotas,feature,int64,0,22
tasa_cumpl_promesas,feature,float64,0,96
promesas_total,feature,int64,0,30
target_mora,target,str,0,4
sin_gestion_previa,feature,int64,0,2
dias_transcurridos_corte,feature,int64,0,206
esta_vencida_al_corte,feature,int64,0,2
dias_mora_observable,feature,int64,0,121
dias_hasta_vence_pos,feature,int64,0,89
cliente_nuevo,feature,int64,0,2
intensidad_gestion,feature,float64,0,771
friccion_contacto,feature,float64,0,27
ratio_promesas_rotas,feature,float64,0,103
