method,n_clusters,silhouette,davies_bouldin,calinski_harabasz,noise_ratio,n_noise,k_evaluated,inertia
KMeans_k5,5,0.2638286462664638,1.0924281026461493,134.55602502116255,0.0,0.0,5.0,
DBSCAN,0,,,,1.0,200.0,0.0,
KMeans_k2_optimal,2,0.818014206909902,0.2525537817281265,139.70442158588142,0.0,0.0,2.0,
KMeans_k2_search,2,0.818014206909902,,,,,2.0,7707.02373060784
KMeans_k3_search,3,0.5016057330552618,,,,,3.0,5110.924594714799
KMeans_k4_search,4,0.26968340817371056,,,,,4.0,3861.5614878771144
KMeans_k5_search,5,0.2638286462664638,,,,,5.0,3495.876912738977
KMeans_k6_search,6,0.17698430865849324,,,,,6.0,3178.583183035972
KMeans_k7_search,7,0.1889857400770417,,,,,7.0,2966.2750578364576
KMeans_k8_search,8,0.18663845906285736,,,,,8.0,2776.607105568564
