model,fairness_col,group,n,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,worst_class_recall,worst_recall_class,actual_high_risk_rate,predicted_high_risk_rate
Logistic Regression,sector_dominante,agro,439,0.5740318906605922,0.5913043765998592,0.5517114495082569,0.5913043765998592,0.5597693699921747,0.38016528925619836,+60,0.6492027334851936,0.5170842824601367
Logistic Regression,sector_dominante,construccion,686,0.5495626822157434,0.5873466705925013,0.5447710314533336,0.5873466705925013,0.5509689519767157,0.45867768595041325,+60,0.7142857142857143,0.5685131195335277
Logistic Regression,sector_dominante,manufactura,737,0.5549525101763908,0.5914111151688356,0.5419793434745802,0.5914111151688356,0.5478473100154516,0.2577777777777778,+60,0.6540027137042063,0.5386702849389416
Logistic Regression,sector_dominante,retail,368,0.5489130434782609,0.5839759619262724,0.5474184485814424,0.5839759619262724,0.5352585511943053,0.34415584415584416,+60,0.5434782608695652,0.37228260869565216
Logistic Regression,sector_dominante,salud,525,0.5771428571428572,0.6003917800750149,0.6072651781493245,0.6003917800750149,0.5792561961682271,0.44525547445255476,+90,0.56,0.41333333333333333
Logistic Regression,sector_dominante,servicios,276,0.605072463768116,0.6492689725793606,0.6261657631388979,0.6492689725793606,0.6222344296064112,0.44680851063829785,+60,0.6159420289855072,0.463768115942029
Logistic Regression,sector_dominante,tecnologia,316,0.5727848101265823,0.5650289673629489,0.5399688534872151,0.5650289673629489,0.5429464027046415,0.32786885245901637,+60,0.5664556962025317,0.5031645569620253
Logistic Regression,sector_dominante,transporte,589,0.5806451612903226,0.6250300461998686,0.5611695704574884,0.6250300461998686,0.5809600123437519,0.4276729559748428,+60,0.7028862478777589,0.6027164685908319
Logistic Regression,tiene_garantia,0,2699,0.542793627269359,0.5854848437737004,0.5337923222771533,0.5854848437737004,0.5483740217423183,0.37865168539325844,+60,0.6991478325305669,0.5813264171915524
Logistic Regression,tiene_garantia,1,1237,0.6208569118835894,0.6020824085456862,0.6214436263701698,0.6020824085456862,0.5946729286702104,0.43034055727554177,+60,0.5068714632174616,0.3565076798706548
Logistic Regression,tiene_disputa_activa,0,3553,0.5631860399662257,0.5924505928147412,0.5617177218331786,0.5924505928147412,0.5649547789942224,0.38526912181303113,+60,0.6118772867998874,0.47340275823247957
Logistic Regression,tiene_disputa_activa,1,383,0.6057441253263708,0.6503761695293953,0.46218227910301074,0.6503761695293953,0.49019466576837445,0.375,+30,0.8877284595300261,0.856396866840731
