algorithm,n_clusters,init,n_init,scaler,use_log1p,eps,min_samples,inertia,method,n_clusters_found,silhouette,davies_bouldin,calinski_harabasz,noise_ratio,min_cluster_share,max_cluster_share,n_noise,cluster_size_distribution
KMeans,2.0,k-means++,10.0,robust,True,,,7813.535281423864,KMeans,2,0.8171051082334457,0.25918091388927467,138.14757765435968,0.0,0.015,0.985,0,0:197;1:3
KMeans,2.0,k-means++,10.0,robust,False,,,9160.796285367613,KMeans,2,0.8365315650863776,0.21320108665586582,174.70800053277767,0.0,0.015,0.985,0,0:197;1:3
KMeans,2.0,k-means++,10.0,standard,True,,,6759.119686258226,KMeans,2,0.27549334608906967,1.3830970969023706,89.07880464744133,0.0,0.415,0.585,0,0:117;1:83
KMeans,2.0,k-means++,10.0,standard,False,,,6929.295652714762,KMeans,2,0.2565411292442039,1.445323855664156,82.02846136891128,0.0,0.465,0.535,0,0:107;1:93
KMeans,2.0,k-means++,20.0,robust,True,,,7813.535281423864,KMeans,2,0.8171051082334457,0.25918091388927467,138.14757765435968,0.0,0.015,0.985,0,0:197;1:3
KMeans,2.0,k-means++,20.0,robust,False,,,9160.796285367613,KMeans,2,0.8365315650863776,0.21320108665586582,174.70800053277767,0.0,0.015,0.985,0,0:197;1:3
KMeans,2.0,k-means++,20.0,standard,True,,,6759.119686258226,KMeans,2,0.27549334608906967,1.3830970969023706,89.07880464744133,0.0,0.415,0.585,0,0:117;1:83
KMeans,2.0,k-means++,20.0,standard,False,,,6929.295652714762,KMeans,2,0.2565411292442039,1.445323855664156,82.02846136891128,0.0,0.465,0.535,0,0:107;1:93
KMeans,2.0,k-means++,50.0,robust,True,,,7813.535281423864,KMeans,2,0.8171051082334457,0.25918091388927467,138.14757765435968,0.0,0.015,0.985,0,0:197;1:3
KMeans,2.0,k-means++,50.0,robust,False,,,9160.796285367613,KMeans,2,0.8365315650863776,0.21320108665586582,174.70800053277767,0.0,0.015,0.985,0,0:197;1:3
KMeans,2.0,k-means++,50.0,standard,True,,,6759.119686258226,KMeans,2,0.27549334608906967,1.3830970969023706,89.07880464744133,0.0,0.415,0.585,0,0:117;1:83
KMeans,2.0,k-means++,50.0,standard,False,,,6929.295652714762,KMeans,2,0.2565411292442039,1.445323855664156,82.02846136891128,0.0,0.465,0.535,0,0:107;1:93
KMeans,2.0,random,10.0,robust,True,,,7813.535281423864,KMeans,2,0.8171051082334457,0.25918091388927467,138.14757765435968,0.0,0.015,0.985,0,0:3;1:197
KMeans,2.0,random,10.0,robust,False,,,9160.796285367613,KMeans,2,0.8365315650863776,0.21320108665586582,174.70800053277767,0.0,0.015,0.985,0,0:3;1:197
KMeans,2.0,random,10.0,standard,True,,,6758.679328141612,KMeans,2,0.2761360937981997,1.38087319543245,89.09750911255888,0.0,0.41,0.59,0,0:82;1:118
KMeans,2.0,random,10.0,standard,False,,,6929.295652714762,KMeans,2,0.2565411292442039,1.445323855664156,82.02846136891128,0.0,0.465,0.535,0,0:93;1:107
KMeans,2.0,random,20.0,robust,True,,,7813.535281423864,KMeans,2,0.8171051082334457,0.25918091388927467,138.14757765435968,0.0,0.015,0.985,0,0:3;1:197
KMeans,2.0,random,20.0,robust,False,,,9160.796285367613,KMeans,2,0.8365315650863776,0.21320108665586582,174.70800053277767,0.0,0.015,0.985,0,0:3;1:197
KMeans,2.0,random,20.0,standard,True,,,6758.679328141612,KMeans,2,0.2761360937981997,1.38087319543245,89.09750911255888,0.0,0.41,0.59,0,0:82;1:118
KMeans,2.0,random,20.0,standard,False,,,6929.295652714762,KMeans,2,0.2565411292442039,1.445323855664156,82.02846136891128,0.0,0.465,0.535,0,0:93;1:107
KMeans,2.0,random,50.0,robust,True,,,7813.535281423864,KMeans,2,0.8171051082334457,0.25918091388927467,138.14757765435968,0.0,0.015,0.985,0,0:3;1:197
KMeans,2.0,random,50.0,robust,False,,,9160.796285367613,KMeans,2,0.8365315650863776,0.21320108665586582,174.70800053277767,0.0,0.015,0.985,0,0:3;1:197
KMeans,2.0,random,50.0,standard,True,,,6758.679328141612,KMeans,2,0.2761360937981997,1.38087319543245,89.09750911255888,0.0,0.41,0.59,0,0:82;1:118
KMeans,2.0,random,50.0,standard,False,,,6929.295652714762,KMeans,2,0.2565411292442039,1.445323855664156,82.02846136891128,0.0,0.465,0.535,0,0:93;1:107
KMeans,3.0,k-means++,10.0,robust,True,,,5214.223011347397,KMeans,3,0.4999213388684945,0.7005145810496307,152.08726829751234,0.0,0.015,0.875,0,0:175;1:3;2:22
KMeans,3.0,k-means++,10.0,robust,False,,,6559.064968431672,KMeans,3,0.4663735990745242,0.7275950492867559,160.4590233764191,0.0,0.015,0.875,0,0:22;1:3;2:175
KMeans,3.0,k-means++,10.0,standard,True,,,6081.470944632508,KMeans,3,0.16206926691223303,1.8805018549902546,60.22804602511034,0.0,0.3,0.395,0,0:79;1:60;2:61
KMeans,3.0,k-means++,10.0,standard,False,,,6125.190362704196,KMeans,3,0.1915626571489946,1.6308633887350499,59.09510200330036,0.0,0.15,0.46,0,0:92;1:78;2:30
KMeans,3.0,k-means++,20.0,robust,True,,,5214.223011347397,KMeans,3,0.4999213388684945,0.7005145810496307,152.08726829751234,0.0,0.015,0.875,0,0:175;1:3;2:22
KMeans,3.0,k-means++,20.0,robust,False,,,6559.064968431672,KMeans,3,0.4663735990745242,0.7275950492867559,160.4590233764191,0.0,0.015,0.875,0,0:22;1:3;2:175
KMeans,3.0,k-means++,20.0,standard,True,,,6081.470944632508,KMeans,3,0.16206926691223303,1.8805018549902546,60.22804602511034,0.0,0.3,0.395,0,0:79;1:60;2:61
KMeans,3.0,k-means++,20.0,standard,False,,,6125.190362704196,KMeans,3,0.1915626571489946,1.6308633887350499,59.09510200330036,0.0,0.15,0.46,0,0:92;1:78;2:30
KMeans,3.0,k-means++,50.0,robust,True,,,5214.223011347397,KMeans,3,0.4999213388684945,0.7005145810496307,152.08726829751234,0.0,0.015,0.875,0,0:175;1:3;2:22
KMeans,3.0,k-means++,50.0,robust,False,,,6559.064968431672,KMeans,3,0.4663735990745242,0.7275950492867559,160.4590233764191,0.0,0.015,0.875,0,0:22;1:3;2:175
KMeans,3.0,k-means++,50.0,standard,True,,,6081.470944632508,KMeans,3,0.16206926691223303,1.8805018549902546,60.22804602511034,0.0,0.3,0.395,0,0:79;1:60;2:61
KMeans,3.0,k-means++,50.0,standard,False,,,6125.190362704196,KMeans,3,0.1915626571489946,1.6308633887350499,59.09510200330036,0.0,0.15,0.46,0,0:92;1:78;2:30
KMeans,3.0,random,10.0,robust,True,,,5214.223011347397,KMeans,3,0.4999213388684945,0.7005145810496307,152.08726829751234,0.0,0.015,0.875,0,0:3;1:22;2:175
KMeans,3.0,random,10.0,robust,False,,,6559.064968431672,KMeans,3,0.4663735990745242,0.7275950492867559,160.45902337641914,0.0,0.015,0.875,0,0:175;1:3;2:22
KMeans,3.0,random,10.0,standard,True,,,6085.309893762798,KMeans,3,0.16139726991478162,1.9135563983075172,60.127911618666175,0.0,0.285,0.37,0,0:69;1:74;2:57
KMeans,3.0,random,10.0,standard,False,,,6125.190362704196,KMeans,3,0.1915626571489946,1.6308633887350499,59.09510200330037,0.0,0.15,0.46,0,0:30;1:92;2:78
KMeans,3.0,random,20.0,robust,True,,,5214.223011347397,KMeans,3,0.4999213388684945,0.7005145810496307,152.08726829751234,0.0,0.015,0.875,0,0:3;1:22;2:175
KMeans,3.0,random,20.0,robust,False,,,6559.064968431672,KMeans,3,0.4663735990745242,0.7275950492867559,160.45902337641914,0.0,0.015,0.875,0,0:175;1:3;2:22
KMeans,3.0,random,20.0,standard,True,,,6085.309893762798,KMeans,3,0.16139726991478162,1.9135563983075172,60.127911618666175,0.0,0.285,0.37,0,0:69;1:74;2:57
KMeans,3.0,random,20.0,standard,False,,,6125.190362704196,KMeans,3,0.1915626571489946,1.6308633887350499,59.09510200330037,0.0,0.15,0.46,0,0:30;1:92;2:78
KMeans,3.0,random,50.0,robust,True,,,5214.223011347397,KMeans,3,0.4999213388684945,0.7005145810496307,152.08726829751234,0.0,0.015,0.875,0,0:3;1:22;2:175
KMeans,3.0,random,50.0,robust,False,,,6559.064968431672,KMeans,3,0.4663735990745242,0.7275950492867559,160.45902337641914,0.0,0.015,0.875,0,0:175;1:3;2:22
KMeans,3.0,random,50.0,standard,True,,,6081.4509869798385,KMeans,3,0.1633903923634651,1.8686825190523082,60.22856692698364,0.0,0.285,0.415,0,0:83;1:57;2:60
KMeans,3.0,random,50.0,standard,False,,,6124.876468589203,KMeans,3,0.18997036962963942,1.6645041708165793,59.10317860293858,0.0,0.16,0.45,0,0:32;1:90;2:78
KMeans,4.0,k-means++,10.0,robust,True,,,3909.9921048160786,KMeans,4,0.28194749320491336,0.9834969346208672,156.31849062306355,0.0,0.015,0.495,0,0:3;1:77;2:21;3:99
KMeans,4.0,k-means++,10.0,robust,False,,,5151.993785362386,KMeans,4,0.2637075910820684,1.0528021627657782,153.3402073028707,0.0,0.015,0.52,0,0:104;1:3;2:71;3:22
KMeans,4.0,k-means++,10.0,standard,True,,,5434.149340027852,KMeans,4,0.17304996949734794,1.5608158365774982,52.48946221453157,0.0,0.015,0.38,0,0:76;1:66;2:55;3:3
KMeans,4.0,k-means++,10.0,standard,False,,,5522.864732618482,KMeans,4,0.21434744050252147,1.5228116340494435,50.59684016615515,0.0,0.015,0.425,0,0:3;1:85;2:59;3:53
KMeans,4.0,k-means++,20.0,robust,True,,,3909.9921048160786,KMeans,4,0.28194749320491336,0.9834969346208672,156.31849062306355,0.0,0.015,0.495,0,0:3;1:77;2:21;3:99
KMeans,4.0,k-means++,20.0,robust,False,,,5151.993785362386,KMeans,4,0.2637075910820684,1.0528021627657782,153.3402073028707,0.0,0.015,0.52,0,0:104;1:3;2:71;3:22
KMeans,4.0,k-means++,20.0,standard,True,,,5434.149340027852,KMeans,4,0.17304996949734794,1.5608158365774982,52.48946221453157,0.0,0.015,0.38,0,0:76;1:66;2:55;3:3
KMeans,4.0,k-means++,20.0,standard,False,,,5522.864732618482,KMeans,4,0.21434744050252147,1.5228116340494435,50.59684016615515,0.0,0.015,0.425,0,0:3;1:85;2:59;3:53
