hiperparametro_a,hiperparametro_b,silhouette_max_interaccion,silhouette_min_interaccion,rango_interaccion,lectura
n_clusters,scaler,0.8268183366599117,0.16211510281934793,0.6647032338405637,Interaccion relevante
n_clusters,use_log1p,0.5465363471652908,0.16833222317208577,0.378204123993205,Interaccion relevante
n_clusters,n_init,0.5464981306269154,0.18273149570933236,0.3637666349175831,Interaccion relevante
n_clusters,init,0.5465784740905567,0.18321197056750896,0.3633665035230478,Interaccion relevante
scaler,use_log1p,0.4134304492124691,0.18288818114358116,0.23054226806888792,Interaccion relevante
init,scaler,0.4130937769365243,0.19088885359137406,0.22220492334515027,Interaccion relevante
n_init,scaler,0.4137842071296972,0.1918987985959743,0.2218854085337229,Interaccion relevante
init,use_log1p,0.308099676676594,0.297052290247726,0.011047386428867989,Interaccion baja o estable
n_init,use_log1p,0.3078402617039483,0.29729579803642325,0.01054446366752504,Interaccion baja o estable
init,n_init,0.3043841587342383,0.30037838157261154,0.004005777161626756,Interaccion baja o estable
