escenario,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,latencia_total_s,latencia_ms_por_reg,n_registros,recall_+90,f1_+90,auc_weighted,tipo_drift,sector,degradacion_f1_macro_pct
drift_temporal_futuro,0.559685177087888,0.612247758494292,0.5646558213654236,0.5606385219721393,0.5512442834791649,0.612247758494292,0.0090616000816226,0.0013207404287454599,6861,0.5805428269298555,0.6522772277227723,0.8056666104665693,temporal,,0.9376121152602107
drift_sector_retail,0.5489130434782609,0.5839759619262724,0.5352585511943053,0.5405463378887595,0.5474184485814424,0.5839759619262724,0.0043351000640541315,0.011780163217538402,368,0.5652173913043478,0.4642857142857143,0.8198911492103088,covariate_sector,retail,6.095026012812446
drift_sector_manufactura,0.5549525101763908,0.5914111151688356,0.5478473100154516,0.5326472072080314,0.5419793434745802,0.5914111151688356,0.004325399990193546,0.005868928073532627,737,0.6770428015564203,0.6444444444444445,0.8204715073620774,covariate_sector,manufactura,3.8864726566950454
drift_sector_servicios,0.605072463768116,0.6492689725793606,0.6222344296064112,0.5987320754811088,0.6261657631388979,0.6492689725793606,0.003574300091713667,0.012950362651136475,276,0.5,0.5891472868217055,0.8047933158770754,covariate_sector,servicios,-9.163894338068037
drift_sector_construccion,0.5495626822157434,0.5873466705925013,0.5509689519767157,0.5545590455275095,0.5447710314533336,0.5873466705925013,0.005502099986188114,0.008020553915726114,686,0.5564516129032258,0.6344827586206897,0.787613859250659,covariate_sector,construccion,3.3388163763502523
drift_sector_agro,0.5740318906605922,0.5913043765998592,0.5597693699921747,0.5666583522212753,0.5517114495082569,0.5913043765998592,0.0042700000340119,0.00972665155811367,439,0.5609756097560976,0.6258503401360545,0.8264674971671702,covariate_sector,agro,1.7948839665379615
drift_sector_tecnologia,0.5727848101265823,0.5650289673629489,0.5429464027046415,0.5665130839483083,0.5399688534872151,0.5650289673629489,0.0036231999984011054,0.011465822779750333,316,0.635593220338983,0.6944444444444444,0.84245688098928,covariate_sector,tecnologia,4.746280636424417
drift_sector_salud,0.5771428571428572,0.6003917800750149,0.5792561961682271,0.570018986005038,0.6072651781493245,0.6003917800750149,0.003747900016605854,0.0071388571744873406,525,0.44525547445255476,0.5781990521327014,0.811204271072844,covariate_sector,salud,-1.6238561938425167
drift_sector_transporte,0.5806451612903226,0.6250300461998686,0.5809600123437519,0.5771819324578324,0.5611695704574884,0.6250300461998686,0.0039091999642550945,0.006637011823862639,589,0.5882352941176471,0.646551724137931,0.7990595820618228,covariate_sector,transporte,-1.92277120096312
drift_cartera_critica_q75,0.5280498664292075,0.4062359243928053,0.3784995664043954,0.5282032193569621,0.3736558222057016,0.4062359243928053,0.004714399925433099,0.004198040895309973,1123,0.6194852941176471,0.6474543707973103,0.7220173789799545,covariate_riesgo,,33.59659204311528
