escenario,familia,nivel,n_runs,f1_macro_mean,f1_macro_std,f1_macro_ci95_low,f1_macro_ci95_high,balanced_accuracy_mean,recall_+90_mean,degradacion_f1_macro_pct_mean,degradacion_f1_macro_pct_std,ttest_degradacion_pvalue
ruido_gaussiano_5pct,ruido_gaussiano,0.05,10,0.5432469780809877,0.0036269293370756735,0.5409989839879294,0.5454949721740459,0.5683158104453101,0.6434281322059954,4.693548133909509,0.6363031553471089,2.3290829061400985e-09
ruido_gaussiano_10pct,ruido_gaussiano,0.1,10,0.5239829530836424,0.0032631917102621437,0.5219604059073855,0.5260055002598993,0.5412807223551559,0.6637970791698694,8.073200382767375,0.5724895603884241,7.167119370664007e-12
ruido_gaussiano_20pct,ruido_gaussiano,0.2,10,0.4853105084805141,0.006129747879060901,0.481511251383552,0.4891097655774762,0.4890622166781397,0.6840122982321292,14.857837258488063,1.0753939639953125,8.610365024744585e-12
missing_aleatorio_5pct,missing_aleatorio,0.05,10,0.5473591558690177,0.004454721398351467,0.5445980909408027,0.5501202207972328,0.5674773051498676,0.5554189085318985,3.972113703102113,0.7815297786443152,6.184780936576709e-08
missing_aleatorio_15pct,missing_aleatorio,0.15,10,0.5075047353607208,0.00601827355969487,0.5037745707627223,0.5112348999587194,0.5103449944560114,0.5073789392774789,10.964114695436512,1.0558370731489177,1.108442520268222e-10
missing_aleatorio_30pct,missing_aleatorio,0.3,10,0.44301372113780524,0.0056250976530729585,0.43952724949146793,0.44650019278414255,0.43761724402904434,0.4410453497309762,22.278323500690743,0.9868588696221577,1.04975726090168e-13
missing_dirigido_gestion,missing_dirigido,1.0,10,0.49023580473094946,0.0,0.49023580473094946,0.49023580473094946,0.4785251951768739,0.5357417371252884,13.993750519015446,0.0,3.7790220265580456e-143
missing_dirigido_promesas,missing_dirigido,1.0,10,0.5624744982186749,1.1702778228589004e-16,0.5624744982186748,0.562474498218675,0.5966338613511459,0.5311299000768639,1.3203002440085299,2.340555645717801e-16,0.0
missing_dirigido_historial,missing_dirigido,1.0,10,0.5550631215317612,0.0,0.5550631215317612,0.5550631215317612,0.578623420093807,0.6079938508839354,2.6205412834856125,4.681111291435602e-16,0.0
outlier_monto_3x_5pct,outlier_monto,0.05,10,0.5698538244951233,0.0009839190569154248,0.5692439851455162,0.5704636638447305,0.6006626625962201,0.5757878554957724,0.025682081465043336,0.17261731407930483,0.6492015989331249
outlier_monto_5x_5pct,outlier_monto,0.05,10,0.569478476134391,0.0006995943089643001,0.5690448630893249,0.569912089179457,0.6002330528701193,0.5742505764796311,0.09153264652759584,0.12273579793969298,0.04271802503637409
outlier_monto_10x_5pct,outlier_monto,0.05,10,0.568606788644398,0.0007553186620223751,0.5681386372874785,0.5690749400013174,0.5993054910787541,0.5714066102997694,0.24446021936152312,0.1325119965874224,0.00024872838317073866
outlier_monto_5x_10pct,outlier_monto,0.1,10,0.5681104897284988,0.001975702906900178,0.5668859363800373,0.5693350430769603,0.5991821357960634,0.5684089162182937,0.33153017215983954,0.3466144159022001,0.014370448777434434
outlier_critico_combinado,combinado,1.0,10,0.4180048103163605,0.008258797187070123,0.412885954786832,0.423123665845889,0.4114795335960574,0.7013066871637202,26.665850079940366,1.4489112472595442,6.575568692896597e-13
