escenario,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,latencia_ms_por_reg,n_registros,degradacion_f1_macro_pct,recall_+90,f1_+90
baseline_clean,0.5379,0.5572,0.5395,0.5297,0.531,0.5572,0.048,3936,,0.5657,0.58
ruido_bajo_5pct,0.5389,0.56,0.5426,0.5323,0.5339,0.56,0.0246,3936,-0.57,0.5503,0.5774
ruido_medio_10pct,0.5368,0.5534,0.5379,0.531,0.5307,0.5534,0.0243,3936,0.3,0.5557,0.5866
ruido_alto_20pct,0.5264,0.5366,0.522,0.5193,0.517,0.5366,0.0249,3936,3.24,0.5573,0.5847
missing_bajo_5pct,0.5231,0.5355,0.5264,0.5205,0.521,0.5355,0.0276,3936,2.43,0.5496,0.5771
missing_medio_15pct,0.4921,0.4948,0.498,0.4974,0.5062,0.4948,0.0256,3936,7.69,0.5088,0.5605
missing_alto_30pct,0.4599,0.4511,0.4604,0.4681,0.5049,0.4511,0.0266,3936,14.66,0.4404,0.5293
missing_dirigido_gestion,0.4022,0.3454,0.3223,0.3671,0.3146,0.3454,0.0264,3936,40.26,0.5926,0.5595
missing_dirigido_promesas,0.5325,0.5511,0.5344,0.5276,0.5316,0.5511,0.0312,3936,0.95,0.5065,0.5693
missing_dirigido_historico,0.5168,0.513,0.5176,0.5204,0.578,0.513,0.0252,3936,4.06,0.4166,0.5608
outlier_monto_3x_5pct,0.5386,0.5588,0.5406,0.5306,0.5318,0.5588,0.0248,3936,-0.2,0.5642,0.58
outlier_monto_5x_5pct,0.5391,0.5593,0.5412,0.5311,0.5323,0.5593,0.0265,3936,-0.32,0.5657,0.5811
outlier_monto_10x_5pct,0.5407,0.5608,0.5428,0.5329,0.5338,0.5608,0.0249,3936,-0.61,0.5657,0.5825
outlier_monto_5x_10pct,0.5384,0.5589,0.5409,0.5305,0.5318,0.5589,0.0262,3936,-0.26,0.565,0.5803
outlier_critico_combinado,0.5348,0.5489,0.5363,0.5293,0.5306,0.5489,0.0275,3936,0.59,0.5596,0.5815
drift_temporal_factura_pasado_vs_futuro,0.5272,0.585,0.533,0.522,0.5662,0.585,0.0234,11007,1.2,0.3791,0.5321
drift_sector_retail,0.5299,0.5369,0.5076,0.5273,0.5027,0.5369,0.0456,368,5.91,0.4348,0.3226
drift_sector_manufactura,0.5495,0.5746,0.5527,0.5368,0.5473,0.5746,0.0318,737,-2.45,0.6226,0.5829
drift_sector_servicios,0.5435,0.5642,0.5494,0.5368,0.5473,0.5642,0.0532,276,-1.84,0.4474,0.5191
drift_sector_construccion,0.5437,0.5441,0.5287,0.5435,0.5202,0.5441,0.034,686,2.0,0.5887,0.6253
drift_sector_agro,0.5011,0.4977,0.4743,0.4805,0.4677,0.4977,0.0404,439,12.09,0.5793,0.5706
drift_sector_tecnologia,0.5348,0.5252,0.5174,0.535,0.5374,0.5252,0.0455,316,4.1,0.6102,0.6261
drift_sector_salud,0.5448,0.5594,0.5495,0.5415,0.568,0.5594,0.0413,525,-1.85,0.4453,0.5596
drift_sector_transporte,0.5416,0.5684,0.5344,0.5321,0.5286,0.5684,0.0385,589,0.95,0.5804,0.6091
drift_cartera_critica_q75,0.5965,0.3629,0.3684,0.5848,0.3787,0.3629,0.0287,984,31.71,0.7526,0.7079
stress_inputs_fuera_de_rango,0.5099,0.5744,0.487,0.4604,0.5542,0.5744,0.0265,3936,9.73,0.5703,0.611
stress_perfil_critico_combinado,0.5348,0.5489,0.5363,0.5293,0.5306,0.5489,0.0248,3936,0.59,0.5596,0.5815
stress_volumen_10x,0.5379,0.5572,0.5395,0.5297,0.531,0.5572,0.0265,39360,0.0,0.5657,0.58
stress_volumen_50x,0.5379,0.5572,0.5395,0.5297,0.531,0.5572,0.0297,196800,0.0,0.5657,0.58
stress_volumen_100x,0.5379,0.5572,0.5395,0.5297,0.531,0.5572,0.0244,393600,0.0,0.5657,0.58
stress_col_extra_irrelevante,0.5379,0.5572,0.5395,0.5297,0.531,0.5572,0.0252,3936,0.0,0.5657,0.58
