model,fairness_col,group,n,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,worst_class_recall,worst_recall_class
Logistic Regression,sector_dominante,agro,439,0.5649202733485194,0.5819712843627628,0.5412324682901427,0.5819712843627628,0.5494853664025394,0.36363636363636365,+60
Logistic Regression,sector_dominante,construccion,686,0.5495626822157434,0.5850130008690294,0.5446911269223074,0.5850130008690294,0.5504795680585494,0.47107438016528924,+60
Logistic Regression,sector_dominante,manufactura,737,0.5590230664857531,0.5946061000369721,0.5464481495207162,0.5946061000369721,0.5521575198994554,0.26666666666666666,+60
Logistic Regression,sector_dominante,retail,368,0.5516304347826086,0.5855993385496491,0.5491906772644477,0.5855993385496491,0.5376088923008979,0.35064935064935066,+60
Logistic Regression,sector_dominante,salud,525,0.5752380952380952,0.5984386550750149,0.6074633816422891,0.5984386550750149,0.5772655578919039,0.44525547445255476,+90
Logistic Regression,sector_dominante,servicios,276,0.6086956521739131,0.6519285470474456,0.6294990964722313,0.6519285470474456,0.625193009488068,0.4574468085106383,+60
Logistic Regression,sector_dominante,tecnologia,316,0.5727848101265823,0.5630492507750079,0.5373046611763141,0.5630492507750079,0.5408830002284366,0.3114754098360656,+60
Logistic Regression,sector_dominante,transporte,589,0.5789473684210527,0.6231467335622785,0.560729596453464,0.6231467335622785,0.5804713628640498,0.4339622641509434,+60
Logistic Regression,tiene_garantia,0,2699,0.5424231196739533,0.5843696154519715,0.5335259090614897,0.5843696154519715,0.5479657370929953,0.3831460674157303,+60
Logistic Regression,tiene_garantia,1,1237,0.6208569118835894,0.6018483378376067,0.62163635637537,0.6018483378376067,0.5945980966823421,0.43343653250773995,+60
Logistic Regression,tiene_disputa_activa,0,3553,0.562060230790881,0.5908248882242048,0.5605064684282709,0.5908248882242048,0.5637370573662583,0.3881019830028329,+60
Logistic Regression,tiene_disputa_activa,1,383,0.6135770234986945,0.6598729227761486,0.47062208900249497,0.6598729227761486,0.4992934867960488,0.4,+30
